instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1432,04/03/2011,1,0,3,22,0,5,1,1,0.3,0.2879,0.7,0.194,4,40,44.00
1433,04/03/2011,1,0,3,23,0,5,1,2,0.3,0.303,0.75,0.1642,6,40,46.00
1434,05/03/2011,1,0,3,0,0,6,0,2,0.28,0.2879,0.81,0.1045,4,15,19.00
1435,05/03/2011,1,0,3,1,0,6,0,2,0.3,0.3182,0.81,0.1045,5,20,25.00
1436,05/03/2011,1,0,3,2,0,6,0,2,0.3,0.2879,0.87,0.194,5,15,20.00
1437,05/03/2011,1,0,3,3,0,6,0,2,0.3,0.2879,0.87,0.194,0,2,2.00
1438,05/03/2011,1,0,3,4,0,6,0,2,0.3,0.303,0.93,0.1642,0,1,1.00
1439,05/03/2011,1,0,3,5,0,6,0,2,0.3,0.303,1,0.1343,0,3,3.00
1440,05/03/2011,1,0,3,6,0,6,0,2,0.3,0.2879,1,0.2239,1,3,4.00
1441,05/03/2011,1,0,3,7,0,6,0,2,0.3,0.2727,1,0.2985,5,10,15.00
1442,05/03/2011,1,0,3,8,0,6,0,2,0.3,0.2727,1,0.2985,11,34,45.00
1443,05/03/2011,1,0,3,9,0,6,0,2,0.32,0.303,0.93,0.2239,15,48,63.00
1444,05/03/2011,1,0,3,10,0,6,0,2,0.34,0.3333,0.93,0.194,34,69,103.00
1445,05/03/2011,1,0,3,11,0,6,0,2,0.4,0.4091,0.76,0.2239,43,116,159.00
1446,05/03/2011,1,0,3,12,0,6,0,2,0.44,0.4394,0.67,0.2537,46,121,167.00
1447,05/03/2011,1,0,3,13,0,6,0,2,0.46,0.4545,0.67,0.2836,60,130,190.00
1448,05/03/2011,1,0,3,14,0,6,0,2,0.48,0.4697,0.59,0.2836,80,118,198.00
1449,05/03/2011,1,0,3,15,0,6,0,2,0.46,0.4545,0.63,0.2985,83,122,205.00
1450,05/03/2011,1,0,3,16,0,6,0,2,0.48,0.4697,0.59,0.2985,74,130,204.00
1451,05/03/2011,1,0,3,17,0,6,0,2,0.48,0.4697,0.59,0.3582,60,104,164.00
1452,05/03/2011,1,0,3,18,0,6,0,2,0.48,0.4697,0.59,0.3284,37,115,152.00
1453,05/03/2011,1,0,3,19,0,6,0,2,0.46,0.4545,0.67,0.3284,27,62,89.00
1454,05/03/2011,1,0,3,20,0,6,0,2,0.44,0.4394,0.77,0.3284,12,58,70.00
1455,05/03/2011,1,0,3,21,0,6,0,2,0.44,0.4394,0.72,0.3284,12,60,72.00
1456,05/03/2011,1,0,3,22,0,6,0,2,0.42,0.4242,0.77,0.2985,16,47,63.00
1457,05/03/2011,1,0,3,23,0,6,0,2,0.44,0.4394,0.77,0.2985,10,34,44.00
1458,06/03/2011,1,0,3,0,0,0,0,2,0.42,0.4242,0.77,0.3582,11,41,52.00
1459,06/03/2011,1,0,3,1,0,0,0,2,0.42,0.4242,0.77,0.2836,12,27,39.00
1460,06/03/2011,1,0,3,2,0,0,0,2,0.4,0.4091,0.82,0.2836,5,27,32.00
1461,06/03/2011,1,0,3,3,0,0,0,2,0.42,0.4242,0.82,0.2985,2,9,11.00
1462,06/03/2011,1,0,3,4,0,0,0,2,0.42,0.4242,0.88,0.3582,0,3,3.00
1463,06/03/2011,1,0,3,6,0,0,0,2,0.42,0.4242,0.94,0.3582,1,1,2.00
1464,06/03/2011,1,0,3,7,0,0,0,3,0.42,0.4242,1,0.4478,0,5,5.00
1465,06/03/2011,1,0,3,8,0,0,0,2,0.4,0.4091,1,0.2985,1,8,9.00
1466,06/03/2011,1,0,3,9,0,0,0,2,0.42,0.4242,1,0.2836,4,18,22.00
1467,06/03/2011,1,0,3,10,0,0,0,2,0.42,0.4242,1,0.2985,4,27,31.00
1468,06/03/2011,1,0,3,11,0,0,0,2,0.42,0.4242,1,0.2239,18,44,62.00
1469,06/03/2011,1,0,3,12,0,0,0,2,0.46,0.4545,0.94,0.3284,10,69,79.00
1470,06/03/2011,1,0,3,13,0,0,0,2,0.46,0.4545,0.94,0.3582,22,83,105.00
1471,06/03/2011,1,0,3,14,0,0,0,3,0.44,0.4394,1,0.2239,12,27,39.00
1472,06/03/2011,1,0,3,15,0,0,0,3,0.44,0.4394,1,0.2239,3,4,7.00
1473,06/03/2011,1,0,3,16,0,0,0,3,0.36,0.3333,1,0.2836,3,8,11.00
1474,06/03/2011,1,0,3,17,0,0,0,3,0.34,0.303,1,0.2985,2,23,25.00
1475,06/03/2011,1,0,3,18,0,0,0,3,0.32,0.2879,1,0.3582,0,23,23.00
1476,06/03/2011,1,0,3,19,0,0,0,3,0.3,0.2576,1,0.4925,0,11,11.00
1477,06/03/2011,1,0,3,20,0,0,0,3,0.28,0.2424,1,0.4179,3,8,11.00
1478,06/03/2011,1,0,3,21,0,0,0,3,0.24,0.1818,0.93,0.6119,1,6,7.00
1479,06/03/2011,1,0,3,22,0,0,0,2,0.22,0.197,1,0.3881,0,10,10.00
1480,06/03/2011,1,0,3,23,0,0,0,2,0.22,0.197,1,0.4179,0,9,9.00
1481,07/03/2011,1,0,3,0,0,1,1,3,0.2,0.1818,1,0.3284,0,4,4.00
1482,07/03/2011,1,0,3,1,0,1,1,3,0.2,0.1818,1,0.3284,0,2,2.00
1483,07/03/2011,1,0,3,3,0,1,1,1,0.2,0.1515,0.8,0.5821,0,1,1.00
1484,07/03/2011,1,0,3,4,0,1,1,1,0.2,0.1515,0.8,0.5224,1,0,1.00
1485,07/03/2011,1,0,3,5,0,1,1,1,0.2,0.1818,0.75,0.3582,0,1,1.00
1486,07/03/2011,1,0,3,6,0,1,1,1,0.2,0.1818,0.75,0.3881,3,31,34.00
1487,07/03/2011,1,0,3,7,0,1,1,1,0.2,0.1667,0.75,0.4179,3,88,91.00
1488,07/03/2011,1,0,3,8,0,1,1,1,0.2,0.1818,0.75,0.3881,11,200,211.00
1489,07/03/2011,1,0,3,9,0,1,1,1,0.22,0.1818,0.64,0.4627,5,129,134.00
1490,07/03/2011,1,0,3,10,0,1,1,1,0.24,0.2121,0.6,0.2985,15,43,58.00
1491,07/03/2011,1,0,3,11,0,1,1,1,0.26,0.2121,0.48,0.4478,19,41,60.00
1492,07/03/2011,1,0,3,12,0,1,1,1,0.3,0.2727,0.42,0.4179,28,68,96.00
1493,07/03/2011,1,0,3,13,0,1,1,1,0.32,0.2879,0.36,0.3881,16,54,70.00
1494,07/03/2011,1,0,3,14,0,1,1,1,0.32,0.2879,0.36,0.4179,21,56,77.00
1495,07/03/2011,1,0,3,15,0,1,1,1,0.34,0.303,0.31,0.3881,32,64,96.00
1496,07/03/2011,1,0,3,16,0,1,1,1,0.34,0.303,0.31,0.3582,26,96,122.00
1497,07/03/2011,1,0,3,17,0,1,1,1,0.34,0.303,0.29,0.3582,27,206,233.00
1498,07/03/2011,1,0,3,18,0,1,1,1,0.32,0.303,0.31,0.2239,19,214,233.00
1499,07/03/2011,1,0,3,19,0,1,1,1,0.3,0.2879,0.33,0.2239,11,134,145.00
1500,07/03/2011,1,0,3,20,0,1,1,1,0.3,0.303,0.33,0.1642,5,87,92.00
1501,07/03/2011,1,0,3,21,0,1,1,1,0.28,0.2727,0.38,0.2239,1,53,54.00
1502,07/03/2011,1,0,3,22,0,1,1,1,0.26,0.2576,0.48,0.1642,1,34,35.00
1503,07/03/2011,1,0,3,23,0,1,1,1,0.28,0.3182,0.48,0,0,22,22.00
1504,08/03/2011,1,0,3,0,0,2,1,1,0.26,0.2879,0.48,0.0896,1,9,10.00
1505,08/03/2011,1,0,3,1,0,2,1,1,0.24,0.2424,0.52,0.1343,0,4,4.00
1506,08/03/2011,1,0,3,2,0,2,1,1,0.24,0.2424,0.52,0.1343,1,0,1.00
1507,08/03/2011,1,0,3,3,0,2,1,1,0.24,0.2576,0.52,0.0896,5,2,7.00
1508,08/03/2011,1,0,3,4,0,2,1,1,0.22,0.2727,0.64,0,0,2,2.00
1509,08/03/2011,1,0,3,5,0,2,1,1,0.2,0.2273,0.69,0.1045,2,8,10.00
1510,08/03/2011,1,0,3,6,0,2,1,1,0.2,0.2576,0.59,0,3,42,45.00
1511,08/03/2011,1,0,3,7,0,2,1,1,0.18,0.197,0.64,0.1343,9,119,128.00
1512,08/03/2011,1,0,3,8,0,2,1,1,0.22,0.2273,0.55,0.194,10,247,257.00
1513,08/03/2011,1,0,3,9,0,2,1,1,0.26,0.2576,0.41,0.1642,11,140,151.00
1514,08/03/2011,1,0,3,10,0,2,1,2,0.3,0.2879,0.33,0.194,25,46,71.00
1515,08/03/2011,1,0,3,11,0,2,1,2,0.36,0.3485,0.25,0.1642,26,52,78.00
1516,08/03/2011,1,0,3,12,0,2,1,2,0.36,0.3788,0.23,0,29,70,99.00
1517,08/03/2011,1,0,3,13,0,2,1,2,0.38,0.3939,0.25,0.1045,25,73,98.00
1518,08/03/2011,1,0,3,14,0,2,1,2,0.38,0.3939,0.2,0,16,56,72.00
1519,08/03/2011,1,0,3,15,0,2,1,2,0.36,0.3788,0.18,0,35,77,112.00
1520,08/03/2011,1,0,3,16,0,2,1,1,0.38,0.3939,0.27,0.1642,26,82,108.00
1521,08/03/2011,1,0,3,17,0,2,1,1,0.36,0.3485,0.27,0.2239,39,209,248.00
1522,08/03/2011,1,0,3,18,0,2,1,1,0.34,0.3333,0.27,0.194,21,214,235.00
1523,08/03/2011,1,0,3,19,0,2,1,1,0.34,0.3485,0.31,0.1045,9,141,150.00
1524,08/03/2011,1,0,3,20,0,2,1,1,0.32,0.3333,0.39,0.0896,2,74,76.00
1525,08/03/2011,1,0,3,21,0,2,1,1,0.3,0.2879,0.49,0.194,7,68,75.00
1526,08/03/2011,1,0,3,22,0,2,1,1,0.3,0.2879,0.49,0.2239,11,44,55.00
1527,08/03/2011,1,0,3,23,0,2,1,1,0.28,0.2727,0.61,0.194,3,38,41.00
1528,09/03/2011,1,0,3,0,0,3,1,1,0.26,0.2879,0.65,0.0896,0,9,9.00
1529,09/03/2011,1,0,3,1,0,3,1,1,0.26,0.2727,0.52,0.1343,0,4,4.00
1530,09/03/2011,1,0,3,2,0,3,1,1,0.26,0.2727,0.52,0.1343,1,1,2.00
1531,09/03/2011,1,0,3,3,0,3,1,1,0.24,0.2576,0.7,0.0896,1,2,3.00
1532,09/03/2011,1,0,3,4,0,3,1,1,0.24,0.2576,0.75,0.1045,0,2,2.00
1533,09/03/2011,1,0,3,5,0,3,1,2,0.24,0.2424,0.81,0.1343,1,7,8.00
1534,09/03/2011,1,0,3,6,0,3,1,2,0.24,0.2576,0.85,0.1045,5,44,49.00
1535,09/03/2011,1,0,3,7,0,3,1,2,0.24,0.2424,0.87,0.1642,18,123,141.00
1536,09/03/2011,1,0,3,8,0,3,1,2,0.24,0.2424,0.87,0.1343,11,238,249.00
1537,09/03/2011,1,0,3,9,0,3,1,2,0.26,0.2424,0.87,0.2537,5,136,141.00
1538,09/03/2011,1,0,3,10,0,3,1,2,0.3,0.2879,0.75,0.2537,8,49,57.00
1539,09/03/2011,1,0,3,11,0,3,1,2,0.32,0.2879,0.76,0.3881,15,44,59.00
1540,09/03/2011,1,0,3,12,0,3,1,2,0.32,0.303,0.76,0.2537,14,84,98.00
1541,09/03/2011,1,0,3,13,0,3,1,2,0.32,0.2879,0.76,0.3582,17,82,99.00
1542,09/03/2011,1,0,3,14,0,3,1,2,0.34,0.303,0.76,0.2985,10,61,71.00
1543,09/03/2011,1,0,3,15,0,3,1,2,0.36,0.3333,0.71,0.2985,15,64,79.00
1544,09/03/2011,1,0,3,16,0,3,1,2,0.34,0.303,0.76,0.3284,10,102,112.00
1545,09/03/2011,1,0,3,17,0,3,1,2,0.34,0.303,0.76,0.2985,18,176,194.00
1546,09/03/2011,1,0,3,18,0,3,1,2,0.34,0.3182,0.76,0.2537,12,176,188.00
1547,09/03/2011,1,0,3,19,0,3,1,2,0.34,0.303,0.76,0.3284,11,123,134.00
1548,09/03/2011,1,0,3,20,0,3,1,2,0.32,0.3182,0.87,0.194,4,87,91.00
1549,09/03/2011,1,0,3,21,0,3,1,2,0.32,0.303,0.93,0.3284,10,52,62.00
1550,09/03/2011,1,0,3,22,0,3,1,3,0.32,0.3182,0.93,0.1642,4,17,21.00
1551,09/03/2011,1,0,3,23,0,3,1,3,0.34,0.3333,0.93,0.194,1,17,18.00
1552,10/03/2011,1,0,3,0,0,4,1,3,0.34,0.3182,0,0.2537,3,0,3.00
1553,10/03/2011,1,0,3,1,0,4,1,3,0.34,0.3182,0,0.2537,0,2,2.00
1554,10/03/2011,1,0,3,2,0,4,1,3,0.34,0.3182,0,0.2537,0,1,1.00
1555,10/03/2011,1,0,3,5,0,4,1,3,0.36,0.3485,0,0.194,1,2,3.00
1556,10/03/2011,1,0,3,6,0,4,1,3,0.36,0.3333,0,0.3284,0,12,12.00
1557,10/03/2011,1,0,3,7,0,4,1,3,0.38,0.3939,0,0.2239,1,36,37.00
1558,10/03/2011,1,0,3,8,0,4,1,3,0.38,0.3939,0,0.2836,1,43,44.00
1559,10/03/2011,1,0,3,9,0,4,1,3,0.4,0.4091,0,0.2239,1,23,24.00
1560,10/03/2011,1,0,3,10,0,4,1,3,0.4,0.4091,0,0.1642,0,17,17.00
1561,10/03/2011,1,0,3,11,0,4,1,3,0.4,0.4091,0,0.2537,6,5,11.00
1562,10/03/2011,1,0,3,12,0,4,1,3,0.42,0.4242,0,0.2239,4,30,34.00
1563,10/03/2011,1,0,3,13,0,4,1,3,0.42,0.4242,0,0.2239,1,11,12.00
1564,10/03/2011,1,0,3,14,0,4,1,3,0.44,0.4394,0,0.2985,0,12,12.00
1565,10/03/2011,1,0,3,15,0,4,1,3,0.44,0.4394,0,0.2239,3,11,14.00
1566,10/03/2011,1,0,3,16,0,4,1,3,0.42,0.4242,0,0.2537,1,20,21.00
1567,10/03/2011,1,0,3,17,0,4,1,2,0.44,0.4394,0,0.3881,2,109,111.00
1568,10/03/2011,1,0,3,18,0,4,1,3,0.44,0.4394,0,0.3582,2,80,82.00
1569,10/03/2011,1,0,3,19,0,4,1,3,0.44,0.4394,0,0.5821,5,51,56.00
1570,10/03/2011,1,0,3,20,0,4,1,3,0.36,0.3333,0,0.3284,9,29,38.00
1571,10/03/2011,1,0,3,21,0,4,1,3,0.36,0.3485,0,0.2239,1,27,28.00
1572,10/03/2011,1,0,3,22,0,4,1,2,0.34,0.3333,0,0.1343,4,30,34.00
1573,10/03/2011,1,0,3,23,0,4,1,3,0.34,0.3485,0,0.0896,1,26,27.00
1574,11/03/2011,1,0,3,0,0,5,1,2,0.34,0.3485,1,0.0896,0,6,6.00
1575,11/03/2011,1,0,3,1,0,5,1,3,0.34,0.3485,1,0.1045,0,8,8.00
1576,11/03/2011,1,0,3,2,0,5,1,3,0.34,0.3485,1,0.1045,2,3,5.00
1577,11/03/2011,1,0,3,3,0,5,1,2,0.32,0.3333,0.93,0.0896,0,2,2.00
1578,11/03/2011,1,0,3,5,0,5,1,1,0.3,0.2879,0.81,0.2239,1,6,7.00
1579,11/03/2011,1,0,3,6,0,5,1,1,0.26,0.2424,0.81,0.2836,1,31,32.00
1580,11/03/2011,1,0,3,7,0,5,1,1,0.26,0.2576,0.7,0.194,10,104,114.00
1581,11/03/2011,1,0,3,8,0,5,1,1,0.28,0.2727,0.7,0.2537,15,244,259.00
1582,11/03/2011,1,0,3,9,0,5,1,2,0.3,0.2879,0.61,0.2836,13,143,156.00
1583,11/03/2011,1,0,3,10,0,5,1,2,0.32,0.303,0.57,0.2985,18,60,78.00
1584,11/03/2011,1,0,3,11,0,5,1,2,0.32,0.303,0.57,0.2985,14,67,81.00
1585,11/03/2011,1,0,3,12,0,5,1,2,0.34,0.3182,0.53,0.2537,15,96,111.00
1586,11/03/2011,1,0,3,13,0,5,1,1,0.36,0.3333,0.53,0.2537,15,92,107.00
1587,11/03/2011,1,0,3,14,0,5,1,2,0.36,0.3333,0.5,0.3582,25,64,89.00
1588,11/03/2011,1,0,3,15,0,5,1,2,0.34,0.3182,0.53,0.2537,21,64,85.00
1589,11/03/2011,1,0,3,16,0,5,1,2,0.34,0.303,0.49,0.2985,18,95,113.00
1590,11/03/2011,1,0,3,17,0,5,1,1,0.34,0.3182,0.49,0.2239,23,200,223.00
1591,11/03/2011,1,0,3,18,0,5,1,1,0.32,0.303,0.49,0.3284,19,134,153.00
1592,11/03/2011,1,0,3,19,0,5,1,1,0.3,0.2727,0.56,0.3284,7,111,118.00
1593,11/03/2011,1,0,3,20,0,5,1,1,0.3,0.303,0.56,0.1642,6,70,76.00
1594,11/03/2011,1,0,3,21,0,5,1,2,0.3,0.2879,0.52,0.2537,10,43,53.00
1595,11/03/2011,1,0,3,22,0,5,1,1,0.3,0.303,0.52,0.1642,11,53,64.00
1596,11/03/2011,1,0,3,23,0,5,1,1,0.3,0.2879,0.52,0.2537,3,34,37.00
1597,12/03/2011,1,0,3,0,0,6,0,1,0.26,0.2727,0.6,0.1343,4,30,34.00
1598,12/03/2011,1,0,3,1,0,6,0,1,0.24,0.2273,0.65,0.194,3,15,18.00
1599,12/03/2011,1,0,3,2,0,6,0,1,0.24,0.2273,0.65,0.194,0,14,14.00
1600,12/03/2011,1,0,3,3,0,6,0,1,0.24,0.2273,0.65,0.2537,1,6,7.00
1601,12/03/2011,1,0,3,4,0,6,0,1,0.24,0.2273,0.65,0.2537,0,1,1.00
1602,12/03/2011,1,0,3,5,0,6,0,1,0.22,0.2273,0.69,0.194,0,2,2.00
1603,12/03/2011,1,0,3,6,0,6,0,1,0.22,0.2121,0.75,0.2537,2,2,4.00
1604,12/03/2011,1,0,3,7,0,6,0,1,0.24,0.2273,0.7,0.194,4,19,23.00
1605,12/03/2011,1,0,3,8,0,6,0,1,0.26,0.2576,0.65,0.1642,9,44,53.00
1606,12/03/2011,1,0,3,9,0,6,0,1,0.28,0.2879,0.65,0.1045,25,76,101.00
1607,12/03/2011,1,0,3,10,0,6,0,1,0.32,0.303,0.66,0.2239,21,78,99.00
1608,12/03/2011,1,0,3,11,0,6,0,1,0.34,0.303,0.49,0.3284,36,83,119.00
1609,12/03/2011,1,0,3,12,0,6,0,1,0.34,0.3182,0.53,0.2836,51,107,158.00
1610,12/03/2011,1,0,3,13,0,6,0,1,0.36,0.3333,0.51,0.3582,62,95,157.00
1611,12/03/2011,1,0,3,14,0,6,0,1,0.4,0.4091,0.5,0.4478,70,96,166.00
1612,12/03/2011,1,0,3,15,0,6,0,1,0.42,0.4242,0.44,0.4925,81,101,182.00
1613,12/03/2011,1,0,3,16,0,6,0,1,0.46,0.4545,0.41,0.4478,100,144,244.00
1614,12/03/2011,1,0,3,17,0,6,0,1,0.46,0.4545,0.44,0.3284,99,114,213.00
1615,12/03/2011,1,0,3,18,0,6,0,1,0.42,0.4242,0.54,0.1642,54,91,145.00
1616,12/03/2011,1,0,3,19,0,6,0,1,0.42,0.4242,0.54,0.0896,26,86,112.00
1617,12/03/2011,1,0,3,20,0,6,0,1,0.4,0.4091,0.58,0.1045,22,64,86.00
1618,12/03/2011,1,0,3,21,0,6,0,1,0.38,0.3939,0.62,0,36,46,82.00
1619,12/03/2011,1,0,3,22,0,6,0,1,0.36,0.3788,0.71,0,7,56,63.00
1620,12/03/2011,1,0,3,23,0,6,0,1,0.38,0.3939,0.66,0.0896,11,38,49.00
1621,13/03/2011,1,0,3,0,0,0,0,1,0.38,0.3939,0.62,0.1045,3,35,38.00
1622,13/03/2011,1,0,3,1,0,0,0,1,0.36,0.3485,0.66,0.1343,10,23,33.00
1623,13/03/2011,1,0,3,3,0,0,0,1,0.34,0.3333,0.76,0.1343,6,17,23.00
1624,13/03/2011,1,0,3,4,0,0,0,1,0.34,0.3333,0.66,0.1642,4,9,13.00
1625,13/03/2011,1,0,3,5,0,0,0,1,0.36,0.3485,0.62,0.1343,0,3,3.00
1626,13/03/2011,1,0,3,6,0,0,0,1,0.34,0.3636,0.66,0,0,2,2.00
1627,13/03/2011,1,0,3,7,0,0,0,1,0.36,0.3485,0.62,0.194,2,8,10.00
1628,13/03/2011,1,0,3,8,0,0,0,1,0.4,0.4091,0.5,0.2985,11,23,34.00
1629,13/03/2011,1,0,3,9,0,0,0,1,0.4,0.4091,0.5,0.4179,8,36,44.00
1630,13/03/2011,1,0,3,10,0,0,0,1,0.42,0.4242,0.47,0.2537,36,86,122.00
1631,13/03/2011,1,0,3,11,0,0,0,1,0.44,0.4394,0.41,0.4179,88,93,181.00
1632,13/03/2011,1,0,3,12,0,0,0,1,0.46,0.4545,0.38,0.3881,74,120,194.00
1633,13/03/2011,1,0,3,13,0,0,0,1,0.46,0.4545,0.38,0.3881,97,124,221.00
1634,13/03/2011,1,0,3,14,0,0,0,1,0.46,0.4545,0.41,0.2985,144,106,250.00
1635,13/03/2011,1,0,3,15,0,0,0,1,0.48,0.4697,0.39,0.3284,149,155,304.00
1636,13/03/2011,1,0,3,16,0,0,0,1,0.46,0.4545,0.41,0.3881,124,132,256.00
1637,13/03/2011,1,0,3,17,0,0,0,1,0.44,0.4394,0.41,0.3582,98,143,241.00
1638,13/03/2011,1,0,3,18,0,0,0,1,0.4,0.4091,0.43,0.3582,55,92,147.00
1639,13/03/2011,1,0,3,19,0,0,0,1,0.36,0.3333,0.5,0.3582,28,73,101.00
1640,13/03/2011,1,0,3,20,0,0,0,1,0.32,0.303,0.57,0.2985,23,54,77.00
1641,13/03/2011,1,0,3,21,0,0,0,1,0.3,0.2879,0.56,0.2537,9,49,58.00
1642,13/03/2011,1,0,3,22,0,0,0,1,0.3,0.2727,0.56,0.3284,8,29,37.00
1643,13/03/2011,1,0,3,23,0,0,0,1,0.26,0.2576,0.65,0.2239,5,23,28.00
1644,14/03/2011,1,0,3,0,0,1,1,1,0.26,0.2727,0.65,0.1045,4,7,11.00
1645,14/03/2011,1,0,3,1,0,1,1,1,0.26,0.2879,0.65,0.0896,0,1,1.00
1646,14/03/2011,1,0,3,2,0,1,1,1,0.26,0.2879,0.65,0.0896,0,1,1.00
1647,14/03/2011,1,0,3,3,0,1,1,1,0.26,0.2727,0.65,0.1343,0,3,3.00
1648,14/03/2011,1,0,3,5,0,1,1,1,0.24,0.2424,0.7,0.1343,0,8,8.00
1649,14/03/2011,1,0,3,6,0,1,1,1,0.26,0.2727,0.65,0.1343,1,27,28.00
1650,14/03/2011,1,0,3,7,0,1,1,2,0.28,0.3182,0.61,0,4,84,88.00
1651,14/03/2011,1,0,3,8,0,1,1,2,0.3,0.303,0.56,0.1343,24,217,241.00
1652,14/03/2011,1,0,3,9,0,1,1,1,0.32,0.303,0.53,0.3284,13,127,140.00
1653,14/03/2011,1,0,3,10,0,1,1,1,0.34,0.3182,0.42,0.2537,27,57,84.00
1654,14/03/2011,1,0,3,11,0,1,1,1,0.36,0.3333,0.4,0.2537,26,45,71.00
1655,14/03/2011,1,0,3,12,0,1,1,1,0.38,0.3939,0.37,0,40,54,94.00
1656,14/03/2011,1,0,3,13,0,1,1,1,0.38,0.3939,0.36,0.3284,24,51,75.00
1657,14/03/2011,1,0,3,14,0,1,1,2,0.38,0.3939,0.34,0,27,52,79.00
1658,14/03/2011,1,0,3,15,0,1,1,1,0.38,0.3939,0.37,0.1642,24,77,101.00
1659,14/03/2011,1,0,3,16,0,1,1,1,0.4,0.4091,0.35,0.1045,27,80,107.00
1660,14/03/2011,1,0,3,17,0,1,1,1,0.38,0.3939,0.4,0.194,42,229,271.00
1661,14/03/2011,1,0,3,18,0,1,1,1,0.36,0.3636,0.4,0.1045,25,210,235.00
1662,14/03/2011,1,0,3,19,0,1,1,1,0.36,0.3485,0.43,0.1343,17,133,150.00
1663,14/03/2011,1,0,3,20,0,1,1,1,0.34,0.3182,0.46,0.2239,23,106,129.00
1664,14/03/2011,1,0,3,21,0,1,1,1,0.34,0.3333,0.46,0.1343,5,58,63.00
1665,14/03/2011,1,0,3,22,0,1,1,1,0.32,0.3333,0.49,0.1045,4,43,47.00
1666,14/03/2011,1,0,3,23,0,1,1,1,0.32,0.3485,0.53,0,2,17,19.00
1667,15/03/2011,1,0,3,0,0,2,1,1,0.32,0.3485,0.53,0,7,7,14.00
1668,15/03/2011,1,0,3,1,0,2,1,1,0.3,0.303,0.62,0.0896,4,6,10.00
1669,15/03/2011,1,0,3,2,0,2,1,1,0.3,0.303,0.62,0.0896,1,2,3.00
1670,15/03/2011,1,0,3,4,0,2,1,1,0.24,0.2576,0.75,0.0896,1,1,2.00
1671,15/03/2011,1,0,3,5,0,2,1,1,0.24,0.2273,0.75,0.194,0,11,11.00
1672,15/03/2011,1,0,3,6,0,2,1,1,0.22,0.2273,0.8,0.194,3,32,35.00
1673,15/03/2011,1,0,3,7,0,2,1,1,0.24,0.2424,0.75,0.1642,10,109,119.00
1674,15/03/2011,1,0,3,8,0,2,1,1,0.26,0.2879,0.7,0.0896,23,259,282.00
1675,15/03/2011,1,0,3,9,0,2,1,2,0.3,0.3333,0.7,0,10,147,157.00
1676,15/03/2011,1,0,3,10,0,2,1,2,0.32,0.3182,0.66,0.194,22,56,78.00
1677,15/03/2011,1,0,3,11,0,2,1,2,0.34,0.3182,0.57,0.2239,27,51,78.00
1678,15/03/2011,1,0,3,12,0,2,1,2,0.36,0.3485,0.5,0.2239,32,70,102.00
1679,15/03/2011,1,0,3,13,0,2,1,2,0.36,0.3333,0.57,0.2836,23,74,97.00
1680,15/03/2011,1,0,3,14,0,2,1,2,0.38,0.3939,0.46,0.2985,14,74,88.00
1681,15/03/2011,1,0,3,15,0,2,1,2,0.38,0.3939,0.43,0.2836,24,66,90.00
1682,15/03/2011,1,0,3,16,0,2,1,2,0.38,0.3939,0.46,0.3284,21,93,114.00
1683,15/03/2011,1,0,3,17,0,2,1,2,0.36,0.3485,0.62,0.194,22,195,217.00
1684,15/03/2011,1,0,3,18,0,2,1,2,0.36,0.3333,0.62,0.2985,18,207,225.00
1685,15/03/2011,1,0,3,19,0,2,1,2,0.34,0.3182,0.71,0.2836,14,138,152.00
1686,15/03/2011,1,0,3,20,0,2,1,2,0.34,0.3182,0.71,0.2836,9,79,88.00
1687,15/03/2011,1,0,3,21,0,2,1,3,0.32,0.3333,0.81,0.1045,2,53,55.00
1688,15/03/2011,1,0,3,22,0,2,1,2,0.32,0.3182,0.87,0.1642,1,20,21.00
1689,15/03/2011,1,0,3,23,0,2,1,2,0.32,0.3182,0.87,0.1642,1,17,18.00
1690,16/03/2011,1,0,3,0,0,3,1,3,0.3,0.2879,0.93,0.2537,0,8,8.00
1691,16/03/2011,1,0,3,1,0,3,1,3,0.3,0.2727,1,0.2985,1,2,3.00
1692,16/03/2011,1,0,3,3,0,3,1,2,0.28,0.2727,1,0.2239,1,2,3.00
1693,16/03/2011,1,0,3,4,0,3,1,2,0.3,0.303,0.93,0.1642,0,1,1.00
1694,16/03/2011,1,0,3,5,0,3,1,2,0.3,0.3182,0.93,0.1045,0,3,3.00
1695,16/03/2011,1,0,3,6,0,3,1,2,0.3,0.3182,0.93,0.1045,1,30,31.00
1696,16/03/2011,1,0,3,7,0,3,1,2,0.3,0.2879,0.93,0.194,10,101,111.00
1697,16/03/2011,1,0,3,8,0,3,1,2,0.32,0.3182,0.93,0,26,227,253.00
1698,16/03/2011,1,0,3,9,0,3,1,2,0.32,0.3333,0.93,0.1343,10,144,154.00
1699,16/03/2011,1,0,3,10,0,3,1,2,0.36,0.3485,0.81,0.1642,19,49,68.00
1700,16/03/2011,1,0,3,11,0,3,1,2,0.36,0.3485,0.81,0.1343,13,62,75.00
1701,16/03/2011,1,0,3,12,0,3,1,2,0.4,0.4091,0.71,0.1045,23,65,88.00
1702,16/03/2011,1,0,3,13,0,3,1,2,0.4,0.4091,0.76,0.1343,18,81,99.00
